report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
13_o3-mini_orkg_d4_b4,d4_b4,0.62,0.83,0.41,0.73,0.64,0.646,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d4_b4.md
14_o3-mini_orkg_d1_b1,d1_b1,0.62,0.86,0.38,0.58,0.65,0.618,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d1_b1.md
14_o3-mini_orkg_d1_b4,d1_b4,0.57,0.68,0.44,0.54,0.63,0.572,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d1_b4.md
14_o3-mini_orkg_d4_b1,d4_b1,0.58,0.74,0.42,0.66,0.62,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d4_b1.md
14_o3-mini_orkg_d4_b4,d4_b4,0.63,0.91,0.62,0.76,0.72,0.728,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d4_b4.md
15_o3-mini_orkg_d1_b1,d1_b1,0.62,0.68,0.38,0.66,0.88,0.644,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d1_b1.md
15_o3-mini_orkg_d1_b4,d1_b4,0.71,0.79,0.42,0.72,0.58,0.644,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d1_b4.md
15_o3-mini_orkg_d4_b1,d4_b1,0.58,0.73,0.58,0.67,0.66,0.644,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d4_b1.md
15_o3-mini_orkg_d4_b4,d4_b4,0.56,0.82,0.42,0.72,0.68,0.64,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d4_b4.md
16_o3-mini_orkg_d1_b1,d1_b1,0.62,0.72,0.43,0.86,0.71,0.668,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d1_b1.md
16_o3-mini_orkg_d1_b4,d1_b4,0.62,0.67,0.42,0.67,0.68,0.612,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d1_b4.md
16_o3-mini_orkg_d4_b1,d4_b1,0.63,0.62,0.47,0.82,0.68,0.644,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d4_b1.md
16_o3-mini_orkg_d4_b4,d4_b4,0.67,0.82,0.62,0.68,0.58,0.674,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d4_b4.md
17_o3-mini_orkg_d1_b1,d1_b1,0.57,0.66,0.42,0.74,0.72,0.622,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d1_b1.md
17_o3-mini_orkg_d1_b4,d1_b4,0.57,0.93,0.43,0.57,0.46,0.592,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d1_b4.md
17_o3-mini_orkg_d4_b1,d4_b1,0.58,0.66,0.43,0.77,0.68,0.624,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d4_b1.md
17_o3-mini_orkg_d4_b4,d4_b4,0.45,0.83,0.43,0.67,0.53,0.582,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d4_b4.md
18_o3-mini_orkg_d1_b1,d1_b1,0.63,0.83,0.44,0.68,0.62,0.64,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d1_b1.md
18_o3-mini_orkg_d1_b4,d1_b4,0.68,0.64,0.58,0.65,0.62,0.634,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d1_b4.md
18_o3-mini_orkg_d4_b1,d4_b1,0.68,0.68,0.42,0.58,0.57,0.586,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d4_b1.md
18_o3-mini_orkg_d4_b4,d4_b4,0.62,0.86,0.58,0.74,0.73,0.706,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d4_b4.md
19_o3-mini_orkg_d1_b1,d1_b1,0.62,0.73,0.54,0.61,0.66,0.632,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d1_b1.md
19_o3-mini_orkg_d1_b4,d1_b4,0.57,0.77,0.58,0.62,0.74,0.656,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d1_b4.md
19_o3-mini_orkg_d4_b1,d4_b1,0.62,0.84,0.46,0.83,0.73,0.696,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d4_b1.md
19_o3-mini_orkg_d4_b4,d4_b4,0.57,0.82,0.62,0.72,0.64,0.674,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d4_b4.md
1_o3-mini_orkg_d1_b1,d1_b1,0.72,0.66,0.58,0.67,0.84,0.694,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d1_b1.md
1_o3-mini_orkg_d1_b4,d1_b4,0.67,0.77,0.63,0.71,0.42,0.64,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d1_b4.md
1_o3-mini_orkg_d4_b1,d4_b1,0.66,0.62,0.42,0.68,0.43,0.562,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d4_b1.md
1_o3-mini_orkg_d4_b4,d4_b4,0.58,0.67,0.58,0.67,0.57,0.614,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d4_b4.md
20_o3-mini_orkg_d1_b1,d1_b1,0.58,0.86,0.38,0.61,0.68,0.622,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d1_b1.md
20_o3-mini_orkg_d1_b4,d1_b4,0.63,0.81,0.56,0.72,0.72,0.688,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d1_b4.md
20_o3-mini_orkg_d4_b1,d4_b1,0.62,0.87,0.57,0.66,0.68,0.68,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d4_b1.md
20_o3-mini_orkg_d4_b4,d4_b4,0.62,0.82,0.46,0.72,0.63,0.65,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d4_b4.md
21_o3-mini_orkg_d1_b1,d1_b1,0.63,0.67,0.56,0.67,0.72,0.65,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d1_b1.md
21_o3-mini_orkg_d1_b4,d1_b4,0.58,0.68,0.42,0.68,0.3,0.532,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d1_b4.md
21_o3-mini_orkg_d4_b1,d4_b1,0.58,0.68,0.33,0.63,0.36,0.516,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d4_b1.md
21_o3-mini_orkg_d4_b4,d4_b4,0.42,0.76,0.42,0.73,0.44,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d4_b4.md
22_o3-mini_orkg_d1_b1,d1_b1,0.57,0.82,0.53,0.68,0.74,0.668,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d1_b1.md
22_o3-mini_orkg_d1_b4,d1_b4,0.56,0.68,0.46,0.65,0.67,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d1_b4.md
22_o3-mini_orkg_d4_b1,d4_b1,0.57,0.64,0.32,0.67,0.63,0.566,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d4_b1.md
22_o3-mini_orkg_d4_b4,d4_b4,0.63,0.78,0.42,0.62,0.68,0.626,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d4_b4.md
23_o3-mini_orkg_d1_b1,d1_b1,0.71,0.64,0.62,0.92,0.79,0.736,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d1_b1.md
23_o3-mini_orkg_d1_b4,d1_b4,0.63,0.77,0.57,0.76,0.73,0.692,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d1_b4.md
23_o3-mini_orkg_d4_b1,d4_b1,0.63,0.78,0.57,0.72,0.67,0.674,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d4_b1.md
23_o3-mini_orkg_d4_b4,d4_b4,0.73,0.78,0.58,0.78,0.72,0.718,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d4_b4.md
24_o3-mini_orkg_d1_b1,d1_b1,0.63,0.64,0.42,0.63,0.64,0.592,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d1_b1.md
24_o3-mini_orkg_d1_b4,d1_b4,0.58,0.68,0.44,0.67,0.62,0.598,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d1_b4.md
24_o3-mini_orkg_d4_b1,d4_b1,0.57,0.72,0.44,0.67,0.64,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d4_b1.md
24_o3-mini_orkg_d4_b4,d4_b4,0.62,0.64,0.46,0.63,0.67,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d4_b4.md
25_o3-mini_orkg_d1_b1,d1_b1,0.63,0.66,0.37,0.68,0.62,0.592,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d1_b1.md
25_o3-mini_orkg_d1_b4,d1_b4,0.72,0.82,0.62,0.73,0.86,0.75,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d1_b4.md
25_o3-mini_orkg_d4_b1,d4_b1,0.63,0.73,0.44,0.62,0.67,0.618,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d4_b1.md
25_o3-mini_orkg_d4_b4,d4_b4,0.63,0.72,0.57,0.58,0.63,0.626,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d4_b4.md
26_o3-mini_orkg_d1_b1,d1_b1,0.58,0.68,0.42,0.57,0.63,0.576,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d1_b1.md
26_o3-mini_orkg_d1_b4,d1_b4,0.63,0.82,0.42,0.62,0.42,0.582,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d1_b4.md
26_o3-mini_orkg_d4_b1,d4_b1,0.42,0.87,0.42,0.62,0.62,0.59,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d4_b1.md
26_o3-mini_orkg_d4_b4,d4_b4,0.62,0.83,0.52,0.73,0.73,0.686,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d4_b4.md
27_o3-mini_orkg_d1_b1,d1_b1,0.62,0.68,0.58,0.68,0.68,0.648,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d1_b1.md
27_o3-mini_orkg_d1_b4,d1_b4,0.57,0.63,0.4,0.57,0.63,0.56,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d1_b4.md
27_o3-mini_orkg_d4_b1,d4_b1,0.57,0.62,0.44,0.57,0.68,0.576,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d4_b1.md
27_o3-mini_orkg_d4_b4,d4_b4,0.68,0.77,0.46,0.56,0.63,0.62,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d4_b4.md
28_o3-mini_orkg_d1_b1,d1_b1,0.63,0.78,0.42,0.72,0.68,0.646,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d1_b1.md
28_o3-mini_orkg_d1_b4,d1_b4,0.63,0.92,0.62,0.73,0.68,0.716,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d1_b4.md
28_o3-mini_orkg_d4_b1,d4_b1,0.62,0.73,0.57,0.64,0.56,0.624,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d4_b1.md
28_o3-mini_orkg_d4_b4,d4_b4,0.63,0.78,0.67,0.73,0.92,0.746,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d4_b4.md
29_o3-mini_orkg_d1_b1,d1_b1,0.57,0.68,0.44,0.62,0.67,0.596,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d1_b1.md
29_o3-mini_orkg_d1_b4,d1_b4,0.67,0.82,0.38,0.66,0.68,0.642,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d1_b4.md
29_o3-mini_orkg_d4_b1,d4_b1,0.63,0.69,0.43,0.58,0.72,0.61,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d4_b1.md
29_o3-mini_orkg_d4_b4,d4_b4,0.63,0.82,0.56,0.68,0.76,0.69,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d4_b4.md
2_o3-mini_orkg_d1_b1,d1_b1,0.63,0.73,0.56,0.62,0.57,0.622,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d1_b1.md
2_o3-mini_orkg_d1_b4,d1_b4,0.56,0.73,0.42,0.62,0.45,0.556,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d1_b4.md
2_o3-mini_orkg_d4_b1,d4_b1,0.57,0.73,0.42,0.57,0.63,0.584,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d4_b1.md
2_o3-mini_orkg_d4_b4,d4_b4,0.58,0.82,0.43,0.62,0.43,0.576,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d4_b4.md
30_o3-mini_orkg_d1_b1,d1_b1,0.58,0.63,0.42,0.62,0.66,0.582,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d1_b1.md
30_o3-mini_orkg_d1_b4,d1_b4,0.43,0.74,0.56,0.62,0.67,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d1_b4.md
30_o3-mini_orkg_d4_b1,d4_b1,0.57,0.62,0.4,0.57,0.57,0.546,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d4_b1.md
30_o3-mini_orkg_d4_b4,d4_b4,0.62,0.73,0.58,0.57,0.68,0.636,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d4_b4.md
31_o3-mini_orkg_d1_b1,d1_b1,0.62,0.78,0.57,0.76,0.86,0.718,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d1_b1.md
31_o3-mini_orkg_d1_b4,d1_b4,0.63,0.78,0.57,0.72,0.73,0.686,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d1_b4.md
31_o3-mini_orkg_d4_b1,d4_b1,0.4,0.63,0.53,0.62,0.65,0.566,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d4_b1.md
31_o3-mini_orkg_d4_b4,d4_b4,0.63,0.82,0.43,0.74,0.57,0.638,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d4_b4.md
32_o3-mini_orkg_d1_b1,d1_b1,0.62,0.72,0.57,0.61,0.82,0.668,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d1_b1.md
32_o3-mini_orkg_d1_b4,d1_b4,0.63,0.68,0.61,0.72,0.53,0.634,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d1_b4.md
32_o3-mini_orkg_d4_b1,d4_b1,0.64,0.78,0.4,0.62,0.66,0.62,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d4_b1.md
32_o3-mini_orkg_d4_b4,d4_b4,0.58,0.73,0.57,0.63,0.6,0.622,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d4_b4.md
33_o3-mini_orkg_d1_b1,d1_b1,0.62,0.65,0.58,0.72,0.77,0.668,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d1_b1.md
33_o3-mini_orkg_d1_b4,d1_b4,0.63,0.62,0.44,0.64,0.62,0.59,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d1_b4.md
33_o3-mini_orkg_d4_b1,d4_b1,0.62,0.73,0.57,0.63,0.65,0.64,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d4_b1.md
33_o3-mini_orkg_d4_b4,d4_b4,0.63,0.72,0.42,0.71,0.78,0.652,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d4_b4.md
34_o3-mini_orkg_d1_b1,d1_b1,0.59,0.67,0.62,0.66,0.63,0.634,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d1_b1.md
34_o3-mini_orkg_d1_b4,d1_b4,0.63,0.83,0.56,0.73,0.62,0.674,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d1_b4.md
34_o3-mini_orkg_d4_b1,d4_b1,0.58,0.77,0.43,0.73,0.68,0.638,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d4_b1.md
34_o3-mini_orkg_d4_b4,d4_b4,0.58,0.77,0.62,0.73,0.72,0.684,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d4_b4.md
35_o3-mini_orkg_d1_b1,d1_b1,0.62,0.88,0.56,0.72,0.72,0.7,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d1_b1.md
35_o3-mini_orkg_d1_b4,d1_b4,0.62,0.82,0.53,0.73,0.67,0.674,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d1_b4.md
35_o3-mini_orkg_d4_b1,d4_b1,0.58,0.87,0.53,0.62,0.73,0.666,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d4_b1.md
35_o3-mini_orkg_d4_b4,d4_b4,0.57,0.72,0.44,0.64,0.62,0.598,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d4_b4.md
36_o3-mini_orkg_d1_b1,d1_b1,0.62,0.82,0.44,0.63,0.62,0.626,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d1_b1.md
36_o3-mini_orkg_d1_b4,d1_b4,0.56,0.72,0.42,0.58,0.58,0.572,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d1_b4.md
36_o3-mini_orkg_d4_b1,d4_b1,0.68,0.82,0.44,0.63,0.63,0.64,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d4_b1.md
36_o3-mini_orkg_d4_b4,d4_b4,0.58,0.78,0.57,0.67,0.58,0.636,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d4_b4.md
37_o3-mini_orkg_d1_b1,d1_b1,0.56,0.68,0.44,0.63,0.58,0.578,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d1_b1.md
37_o3-mini_orkg_d1_b4,d1_b4,0.62,0.62,0.38,0.58,0.57,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d1_b4.md
37_o3-mini_orkg_d4_b1,d4_b1,0.58,0.82,0.44,0.72,0.78,0.668,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d4_b1.md
37_o3-mini_orkg_d4_b4,d4_b4,0.64,0.92,0.42,0.68,0.63,0.658,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d4_b4.md
38_o3-mini_orkg_d1_b1,d1_b1,0.63,0.78,0.46,0.76,0.67,0.66,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d1_b1.md
38_o3-mini_orkg_d1_b4,d1_b4,0.43,0.82,0.57,0.57,0.64,0.606,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d1_b4.md
38_o3-mini_orkg_d4_b1,d4_b1,0.42,0.82,0.41,0.67,0.63,0.59,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d4_b1.md
38_o3-mini_orkg_d4_b4,d4_b4,0.64,0.87,0.56,0.72,0.72,0.702,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d4_b4.md
39_o3-mini_orkg_d1_b1,d1_b1,0.63,0.62,0.45,0.62,0.56,0.576,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d1_b1.md
39_o3-mini_orkg_d1_b4,d1_b4,0.44,0.69,0.52,0.58,0.62,0.57,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d1_b4.md
39_o3-mini_orkg_d4_b1,d4_b1,0.58,0.66,0.34,0.67,0.57,0.564,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d4_b1.md
39_o3-mini_orkg_d4_b4,d4_b4,0.63,0.68,0.43,0.67,0.4,0.562,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d4_b4.md
3_o3-mini_orkg_d1_b1,d1_b1,0.63,0.62,0.42,0.78,0.63,0.616,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d1_b1.md
3_o3-mini_orkg_d1_b4,d1_b4,0.56,0.62,0.43,0.68,0.46,0.55,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d1_b4.md
3_o3-mini_orkg_d4_b1,d4_b1,0.57,0.73,0.47,0.59,0.62,0.596,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d4_b1.md
