report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
19_o3-mini_orkg_d4_b1,d4_b1,0.47,0.78,0.49,0.79,0.64,0.634,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d4_b1.md
19_o3-mini_orkg_d4_b4,d4_b4,0.48,0.78,0.39,0.69,0.68,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d4_b4.md
1_o3-mini_orkg_d1_b1,d1_b1,0.58,0.58,0.41,0.68,0.57,0.564,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d1_b1.md
1_o3-mini_orkg_d1_b4,d1_b4,0.46,0.59,0.42,0.53,0.39,0.478,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d1_b4.md
1_o3-mini_orkg_d4_b1,d4_b1,0.64,0.52,0.31,0.67,0.48,0.524,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d4_b1.md
1_o3-mini_orkg_d4_b4,d4_b4,0.59,0.73,0.36,0.59,0.42,0.538,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d4_b4.md
20_o3-mini_orkg_d1_b1,d1_b1,0.42,0.56,0.36,0.64,0.47,0.49,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d1_b1.md
20_o3-mini_orkg_d1_b4,d1_b4,0.48,0.77,0.39,0.83,0.63,0.62,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d1_b4.md
20_o3-mini_orkg_d4_b1,d4_b1,0.44,0.81,0.44,0.69,0.57,0.59,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d4_b1.md
20_o3-mini_orkg_d4_b4,d4_b4,0.56,0.67,0.46,0.63,0.63,0.59,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d4_b4.md
21_o3-mini_orkg_d1_b1,d1_b1,0.56,0.47,0.39,0.77,0.59,0.556,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d1_b1.md
21_o3-mini_orkg_d1_b4,d1_b4,0.66,0.67,0.18,0.58,0.13,0.444,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d1_b4.md
21_o3-mini_orkg_d4_b1,d4_b1,0.62,0.46,0.22,0.63,0.41,0.468,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d4_b1.md
21_o3-mini_orkg_d4_b4,d4_b4,0.53,0.67,0.38,0.67,0.67,0.584,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d4_b4.md
22_o3-mini_orkg_d1_b1,d1_b1,0.61,0.57,0.42,0.62,0.59,0.562,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d1_b1.md
22_o3-mini_orkg_d1_b4,d1_b4,0.43,0.53,0.33,0.68,0.52,0.498,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d1_b4.md
22_o3-mini_orkg_d4_b1,d4_b1,0.43,0.62,0.24,0.62,0.51,0.484,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d4_b1.md
22_o3-mini_orkg_d4_b4,d4_b4,0.44,0.64,0.46,0.44,0.56,0.508,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d4_b4.md
23_o3-mini_orkg_d1_b1,d1_b1,0.58,0.66,0.53,0.63,0.73,0.626,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d1_b1.md
23_o3-mini_orkg_d1_b4,d1_b4,0.53,0.77,0.58,0.62,0.71,0.642,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d1_b4.md
23_o3-mini_orkg_d4_b1,d4_b1,0.58,0.71,0.42,0.72,0.57,0.6,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d4_b1.md
23_o3-mini_orkg_d4_b4,d4_b4,0.68,0.77,0.47,0.67,0.71,0.66,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d4_b4.md
24_o3-mini_orkg_d1_b1,d1_b1,0.61,0.47,0.34,0.67,0.53,0.524,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d1_b1.md
24_o3-mini_orkg_d1_b4,d1_b4,0.58,0.61,0.47,0.47,0.33,0.492,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d1_b4.md
24_o3-mini_orkg_d4_b1,d4_b1,0.51,0.71,0.36,0.58,0.58,0.548,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d4_b1.md
24_o3-mini_orkg_d4_b4,d4_b4,0.62,0.81,0.46,0.69,0.72,0.66,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d4_b4.md
25_o3-mini_orkg_d1_b1,d1_b1,0.61,0.43,0.38,0.53,0.59,0.508,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d1_b1.md
25_o3-mini_orkg_d1_b4,d1_b4,0.47,0.82,0.44,0.64,0.69,0.612,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d1_b4.md
25_o3-mini_orkg_d4_b1,d4_b1,0.57,0.68,0.42,0.67,0.57,0.582,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d4_b1.md
25_o3-mini_orkg_d4_b4,d4_b4,0.53,0.53,0.44,0.66,0.61,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d4_b4.md
26_o3-mini_orkg_d1_b1,d1_b1,0.44,0.47,0.26,0.46,0.44,0.414,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d1_b1.md
26_o3-mini_orkg_d1_b4,d1_b4,0.46,0.64,0.34,0.62,0.54,0.52,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d1_b4.md
26_o3-mini_orkg_d4_b1,d4_b1,0.46,0.47,0.39,0.47,0.49,0.456,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d4_b1.md
26_o3-mini_orkg_d4_b4,d4_b4,0.62,0.77,0.51,0.67,0.66,0.646,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d4_b4.md
27_o3-mini_orkg_d1_b1,d1_b1,0.62,0.54,0.41,0.88,0.57,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d1_b1.md
27_o3-mini_orkg_d1_b4,d1_b4,0.56,0.53,0.34,0.66,0.66,0.55,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d1_b4.md
27_o3-mini_orkg_d4_b1,d4_b1,0.47,0.41,0.42,0.59,0.61,0.5,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d4_b1.md
27_o3-mini_orkg_d4_b4,d4_b4,0.59,0.53,0.43,0.61,0.66,0.564,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d4_b4.md
28_o3-mini_orkg_d1_b1,d1_b1,0.53,0.71,0.47,0.68,0.58,0.594,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d1_b1.md
28_o3-mini_orkg_d1_b4,d1_b4,0.63,0.76,0.69,0.64,0.81,0.706,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d1_b4.md
28_o3-mini_orkg_d4_b1,d4_b1,0.74,0.72,0.53,0.62,0.41,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d4_b1.md
28_o3-mini_orkg_d4_b4,d4_b4,0.66,0.91,0.67,0.77,0.77,0.756,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d4_b4.md
29_o3-mini_orkg_d1_b1,d1_b1,0.63,0.62,0.33,0.87,0.44,0.578,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d1_b1.md
29_o3-mini_orkg_d1_b4,d1_b4,0.61,0.78,0.34,0.64,0.67,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d1_b4.md
29_o3-mini_orkg_d4_b1,d4_b1,0.57,0.57,0.41,0.63,0.62,0.56,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d4_b1.md
29_o3-mini_orkg_d4_b4,d4_b4,0.56,0.78,0.57,0.76,0.56,0.646,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d4_b4.md
2_o3-mini_orkg_d1_b1,d1_b1,0.43,0.57,0.37,0.64,0.51,0.504,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d1_b1.md
2_o3-mini_orkg_d1_b4,d1_b4,0.43,0.66,0.34,0.61,0.42,0.492,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d1_b4.md
2_o3-mini_orkg_d4_b1,d4_b1,0.41,0.59,0.34,0.66,0.46,0.492,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d4_b1.md
2_o3-mini_orkg_d4_b4,d4_b4,0.53,0.69,0.34,0.52,0.26,0.468,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d4_b4.md
30_o3-mini_orkg_d1_b1,d1_b1,0.56,0.57,0.41,0.68,0.46,0.536,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d1_b1.md
30_o3-mini_orkg_d1_b4,d1_b4,0.46,0.67,0.43,0.68,0.53,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d1_b4.md
30_o3-mini_orkg_d4_b1,d4_b1,0.38,0.31,0.32,0.77,0.46,0.448,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d4_b1.md
30_o3-mini_orkg_d4_b4,d4_b4,0.47,0.71,0.44,0.61,0.61,0.568,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d4_b4.md
31_o3-mini_orkg_d1_b1,d1_b1,0.48,0.59,0.57,0.69,0.78,0.622,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d1_b1.md
31_o3-mini_orkg_d1_b4,d1_b4,0.49,0.69,0.57,0.53,0.73,0.602,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d1_b4.md
31_o3-mini_orkg_d4_b1,d4_b1,0.38,0.47,0.43,0.62,0.64,0.508,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d4_b1.md
31_o3-mini_orkg_d4_b4,d4_b4,0.52,0.67,0.39,0.58,0.61,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d4_b4.md
32_o3-mini_orkg_d1_b1,d1_b1,0.64,0.64,0.43,0.64,0.62,0.594,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d1_b1.md
32_o3-mini_orkg_d1_b4,d1_b4,0.44,0.81,0.49,0.47,0.43,0.528,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d1_b4.md
32_o3-mini_orkg_d4_b1,d4_b1,0.62,0.74,0.43,0.66,0.51,0.592,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d4_b1.md
32_o3-mini_orkg_d4_b4,d4_b4,0.59,0.73,0.47,0.69,0.56,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d4_b4.md
33_o3-mini_orkg_d1_b1,d1_b1,0.59,0.59,0.42,0.88,0.66,0.628,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d1_b1.md
33_o3-mini_orkg_d1_b4,d1_b4,0.34,0.44,0.41,0.69,0.62,0.5,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d1_b4.md
33_o3-mini_orkg_d4_b1,d4_b1,0.53,0.52,0.38,0.67,0.57,0.534,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d4_b1.md
33_o3-mini_orkg_d4_b4,d4_b4,0.53,0.53,0.49,0.66,0.54,0.55,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d4_b4.md
34_o3-mini_orkg_d1_b1,d1_b1,0.46,0.59,0.48,0.64,0.72,0.578,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d1_b1.md
34_o3-mini_orkg_d1_b4,d1_b4,0.59,0.84,0.54,0.61,0.52,0.62,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d1_b4.md
34_o3-mini_orkg_d4_b1,d4_b1,0.64,0.62,0.37,0.62,0.51,0.552,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d4_b1.md
34_o3-mini_orkg_d4_b4,d4_b4,0.49,0.78,0.53,0.73,0.71,0.648,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d4_b4.md
35_o3-mini_orkg_d1_b1,d1_b1,0.62,0.72,0.49,0.88,0.73,0.688,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d1_b1.md
35_o3-mini_orkg_d1_b4,d1_b4,0.62,0.67,0.57,0.76,0.64,0.652,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d1_b4.md
35_o3-mini_orkg_d4_b1,d4_b1,0.58,0.76,0.49,0.63,0.71,0.634,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d4_b1.md
35_o3-mini_orkg_d4_b4,d4_b4,0.53,0.78,0.46,0.61,0.63,0.602,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d4_b4.md
36_o3-mini_orkg_d1_b1,d1_b1,0.59,0.61,0.26,0.63,0.56,0.53,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d1_b1.md
36_o3-mini_orkg_d1_b4,d1_b4,0.42,0.57,0.23,0.57,0.48,0.454,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d1_b4.md
36_o3-mini_orkg_d4_b1,d4_b1,0.69,0.77,0.42,0.59,0.82,0.658,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d4_b1.md
36_o3-mini_orkg_d4_b4,d4_b4,0.46,0.78,0.38,0.57,0.66,0.57,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d4_b4.md
37_o3-mini_orkg_d1_b1,d1_b1,0.44,0.43,0.37,0.63,0.47,0.468,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d1_b1.md
37_o3-mini_orkg_d1_b4,d1_b4,0.61,0.59,0.21,0.56,0.42,0.478,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d1_b4.md
37_o3-mini_orkg_d4_b1,d4_b1,0.64,0.56,0.34,0.86,0.61,0.602,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d4_b1.md
37_o3-mini_orkg_d4_b4,d4_b4,0.61,0.73,0.42,0.67,0.56,0.598,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d4_b4.md
38_o3-mini_orkg_d1_b1,d1_b1,0.43,0.69,0.41,0.66,0.78,0.594,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d1_b1.md
38_o3-mini_orkg_d1_b4,d1_b4,0.44,0.73,0.44,0.52,0.64,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d1_b4.md
38_o3-mini_orkg_d4_b1,d4_b1,0.41,0.61,0.22,0.62,0.53,0.478,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d4_b1.md
38_o3-mini_orkg_d4_b4,d4_b4,0.49,0.81,0.52,0.58,0.76,0.632,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d4_b4.md
39_o3-mini_orkg_d1_b1,d1_b1,0.57,0.41,0.17,0.59,0.53,0.454,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d1_b1.md
39_o3-mini_orkg_d1_b4,d1_b4,0.49,0.53,0.42,0.72,0.67,0.566,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d1_b4.md
39_o3-mini_orkg_d4_b1,d4_b1,0.47,0.47,0.13,0.59,0.53,0.438,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d4_b1.md
39_o3-mini_orkg_d4_b4,d4_b4,0.61,0.61,0.37,0.61,0.61,0.562,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d4_b4.md
3_o3-mini_orkg_d1_b1,d1_b1,0.54,0.56,0.41,0.63,0.69,0.566,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d1_b1.md
3_o3-mini_orkg_d1_b4,d1_b4,0.49,0.61,0.29,0.67,0.53,0.518,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d1_b4.md
3_o3-mini_orkg_d4_b1,d4_b1,0.47,0.66,0.42,0.53,0.43,0.502,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d4_b1.md
