report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
19_o3-mini_orkg_d4_b1,d4_b1,0.25,0.92,0.6,0.93,0.82,0.704,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d4_b1.md
19_o3-mini_orkg_d4_b4,d4_b4,0.15,0.93,0.3,0.8,0.86,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d4_b4.md
1_o3-mini_orkg_d1_b1,d1_b1,0.4,0.35,0.8,0.67,0.63,0.57,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d1_b1.md
1_o3-mini_orkg_d1_b4,d1_b4,0.55,0.6,0.45,0.4,0.3,0.46,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d1_b4.md
1_o3-mini_orkg_d4_b1,d4_b1,0.45,0.45,0.55,0.93,0.65,0.606,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d4_b1.md
1_o3-mini_orkg_d4_b4,d4_b4,0.4,0.7,0.57,0.45,0.55,0.534,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d4_b4.md
20_o3-mini_orkg_d1_b1,d1_b1,0.05,0.83,0.07,0.65,0.48,0.416,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d1_b1.md
20_o3-mini_orkg_d1_b4,d1_b4,0.15,0.92,0.3,0.92,0.58,0.574,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d1_b4.md
20_o3-mini_orkg_d4_b1,d4_b1,0.1,0.93,0.6,0.53,0.4,0.512,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d4_b1.md
20_o3-mini_orkg_d4_b4,d4_b4,0.05,0.82,0.45,0.55,0.55,0.484,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d4_b4.md
21_o3-mini_orkg_d1_b1,d1_b1,0.45,0.27,0.25,0.92,0.45,0.468,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d1_b1.md
21_o3-mini_orkg_d1_b4,d1_b4,0.15,0.03,0.38,0.68,0.25,0.298,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d1_b4.md
21_o3-mini_orkg_d4_b1,d4_b1,0.52,0.3,0.15,0.92,0.45,0.468,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d4_b1.md
21_o3-mini_orkg_d4_b4,d4_b4,0.52,0.92,0.55,0.75,0.55,0.658,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/21_o3-mini_orkg_d4_b4.md
22_o3-mini_orkg_d1_b1,d1_b1,0.2,0.62,0.3,0.6,0.6,0.464,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d1_b1.md
22_o3-mini_orkg_d1_b4,d1_b4,0.05,0.45,0.25,0.55,0.88,0.436,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d1_b4.md
22_o3-mini_orkg_d4_b1,d4_b1,0.08,0.3,0.05,0.8,0.92,0.43,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d4_b1.md
22_o3-mini_orkg_d4_b4,d4_b4,0.05,0.93,0.5,0.45,0.85,0.556,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/22_o3-mini_orkg_d4_b4.md
23_o3-mini_orkg_d1_b1,d1_b1,0.53,0.55,0.67,0.8,0.93,0.696,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d1_b1.md
23_o3-mini_orkg_d1_b4,d1_b4,0.15,0.92,0.6,0.8,0.93,0.68,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d1_b4.md
23_o3-mini_orkg_d4_b1,d4_b1,0.45,0.9,0.55,0.92,0.85,0.734,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d4_b1.md
23_o3-mini_orkg_d4_b4,d4_b4,0.45,0.92,0.72,0.72,0.92,0.746,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/23_o3-mini_orkg_d4_b4.md
24_o3-mini_orkg_d1_b1,d1_b1,0.57,0.22,0.3,0.85,0.8,0.548,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d1_b1.md
24_o3-mini_orkg_d1_b4,d1_b4,0.1,0.63,0.54,0.65,0.45,0.474,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d1_b4.md
24_o3-mini_orkg_d4_b1,d4_b1,0.55,0.8,0.6,0.65,0.85,0.69,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d4_b1.md
24_o3-mini_orkg_d4_b4,d4_b4,0.3,0.92,0.45,0.75,0.91,0.666,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/24_o3-mini_orkg_d4_b4.md
25_o3-mini_orkg_d1_b1,d1_b1,0.3,0.47,0.55,0.6,0.78,0.54,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d1_b1.md
25_o3-mini_orkg_d1_b4,d1_b4,0.3,0.92,0.8,0.93,0.75,0.74,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d1_b4.md
25_o3-mini_orkg_d4_b1,d4_b1,0.45,0.6,0.7,0.72,0.8,0.654,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d4_b1.md
25_o3-mini_orkg_d4_b4,d4_b4,0.12,0.55,0.6,0.7,0.75,0.544,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/25_o3-mini_orkg_d4_b4.md
26_o3-mini_orkg_d1_b1,d1_b1,0.2,0.7,0.42,0.6,0.65,0.514,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d1_b1.md
26_o3-mini_orkg_d1_b4,d1_b4,0.2,0.85,0.07,0.65,0.92,0.538,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d1_b4.md
26_o3-mini_orkg_d4_b1,d4_b1,0.05,0.6,0.05,0.3,0.63,0.326,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d4_b1.md
26_o3-mini_orkg_d4_b4,d4_b4,0.15,0.05,0.53,0.88,0.9,0.502,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/26_o3-mini_orkg_d4_b4.md
27_o3-mini_orkg_d1_b1,d1_b1,0.15,0.45,0.2,0.92,0.8,0.504,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d1_b1.md
27_o3-mini_orkg_d1_b4,d1_b4,0.45,0.6,0.05,0.92,0.88,0.58,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d1_b4.md
27_o3-mini_orkg_d4_b1,d4_b1,0.3,0.72,0.45,0.65,0.92,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d4_b1.md
27_o3-mini_orkg_d4_b4,d4_b4,0.3,0.57,0.45,0.93,0.63,0.576,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/27_o3-mini_orkg_d4_b4.md
28_o3-mini_orkg_d1_b1,d1_b1,0.32,0.92,0.4,0.75,0.94,0.666,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d1_b1.md
28_o3-mini_orkg_d1_b4,d1_b4,0.1,0.92,0.6,0.83,0.6,0.61,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d1_b4.md
28_o3-mini_orkg_d4_b1,d4_b1,0.45,0.75,0.75,0.45,0.85,0.65,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d4_b1.md
28_o3-mini_orkg_d4_b4,d4_b4,0.2,0.95,0.92,0.92,0.8,0.758,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/28_o3-mini_orkg_d4_b4.md
29_o3-mini_orkg_d1_b1,d1_b1,0.2,0.92,0.05,0.72,0.65,0.508,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d1_b1.md
29_o3-mini_orkg_d1_b4,d1_b4,0.45,0.94,0.3,0.75,0.65,0.618,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d1_b4.md
29_o3-mini_orkg_d4_b1,d4_b1,0.55,0.8,0.55,0.92,0.8,0.724,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d4_b1.md
29_o3-mini_orkg_d4_b4,d4_b4,0.45,0.95,0.7,0.6,0.55,0.65,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/29_o3-mini_orkg_d4_b4.md
2_o3-mini_orkg_d1_b1,d1_b1,0.05,0.93,0.6,0.88,0.55,0.602,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d1_b1.md
2_o3-mini_orkg_d1_b4,d1_b4,0.25,0.92,0.35,0.67,0.62,0.562,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d1_b4.md
2_o3-mini_orkg_d4_b1,d4_b1,0.2,0.73,0.05,0.92,0.53,0.486,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d4_b1.md
2_o3-mini_orkg_d4_b4,d4_b4,0.05,0.95,0.55,0.4,0.3,0.45,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/2_o3-mini_orkg_d4_b4.md
30_o3-mini_orkg_d1_b1,d1_b1,0.2,0.72,0.45,0.92,0.72,0.602,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d1_b1.md
30_o3-mini_orkg_d1_b4,d1_b4,0.1,0.92,0.48,0.45,0.63,0.516,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d1_b4.md
30_o3-mini_orkg_d4_b1,d4_b1,0.25,0.45,0.05,0.9,0.48,0.426,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d4_b1.md
30_o3-mini_orkg_d4_b4,d4_b4,0.2,0.92,0.45,0.7,0.92,0.638,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/30_o3-mini_orkg_d4_b4.md
31_o3-mini_orkg_d1_b1,d1_b1,0.45,0.45,0.57,0.85,0.7,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d1_b1.md
31_o3-mini_orkg_d1_b4,d1_b4,0.2,0.65,0.6,0.45,0.72,0.524,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d1_b4.md
31_o3-mini_orkg_d4_b1,d4_b1,0.12,0.3,0.55,0.52,0.88,0.474,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d4_b1.md
31_o3-mini_orkg_d4_b4,d4_b4,0.2,0.75,0.55,0.6,0.55,0.53,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/31_o3-mini_orkg_d4_b4.md
32_o3-mini_orkg_d1_b1,d1_b1,0.4,0.55,0.45,0.78,0.55,0.546,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d1_b1.md
32_o3-mini_orkg_d1_b4,d1_b4,0.08,0.7,0.4,0.45,0.45,0.416,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d1_b4.md
32_o3-mini_orkg_d4_b1,d4_b1,0.15,0.85,0.6,0.6,0.3,0.5,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d4_b1.md
32_o3-mini_orkg_d4_b4,d4_b4,0.4,0.85,0.6,0.6,0.6,0.61,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/32_o3-mini_orkg_d4_b4.md
33_o3-mini_orkg_d1_b1,d1_b1,0.4,0.55,0.55,0.92,0.87,0.658,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d1_b1.md
33_o3-mini_orkg_d1_b4,d1_b4,0.15,0.55,0.25,0.82,0.92,0.538,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d1_b4.md
33_o3-mini_orkg_d4_b1,d4_b1,0.53,0.45,0.6,0.95,0.65,0.636,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d4_b1.md
33_o3-mini_orkg_d4_b4,d4_b4,0.15,0.45,0.5,0.6,0.85,0.51,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/33_o3-mini_orkg_d4_b4.md
34_o3-mini_orkg_d1_b1,d1_b1,0.3,0.55,0.55,0.94,0.93,0.654,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d1_b1.md
34_o3-mini_orkg_d1_b4,d1_b4,0.4,0.93,0.6,0.6,0.75,0.656,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d1_b4.md
34_o3-mini_orkg_d4_b1,d4_b1,0.45,0.65,0.6,0.93,0.65,0.656,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d4_b1.md
34_o3-mini_orkg_d4_b4,d4_b4,0.05,0.92,0.53,0.92,0.92,0.668,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/34_o3-mini_orkg_d4_b4.md
35_o3-mini_orkg_d1_b1,d1_b1,0.4,0.75,0.6,0.92,0.92,0.718,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d1_b1.md
35_o3-mini_orkg_d1_b4,d1_b4,0.3,0.92,0.55,0.9,0.92,0.718,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d1_b4.md
35_o3-mini_orkg_d4_b1,d4_b1,0.1,0.93,0.4,0.6,0.7,0.546,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d4_b1.md
35_o3-mini_orkg_d4_b4,d4_b4,0.2,0.94,0.55,0.6,0.7,0.598,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/35_o3-mini_orkg_d4_b4.md
36_o3-mini_orkg_d1_b1,d1_b1,0.2,0.85,0.2,0.92,0.75,0.584,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d1_b1.md
36_o3-mini_orkg_d1_b4,d1_b4,0.2,0.8,0.35,0.92,0.65,0.584,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d1_b4.md
36_o3-mini_orkg_d4_b1,d4_b1,0.45,0.93,0.2,0.4,0.83,0.562,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d4_b1.md
36_o3-mini_orkg_d4_b4,d4_b4,0.15,0.05,0.55,0.91,0.62,0.456,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/36_o3-mini_orkg_d4_b4.md
37_o3-mini_orkg_d1_b1,d1_b1,0.05,0.65,0.05,0.92,0.73,0.48,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d1_b1.md
37_o3-mini_orkg_d1_b4,d1_b4,0.4,0.85,0.53,0.92,0.6,0.66,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d1_b4.md
37_o3-mini_orkg_d4_b1,d4_b1,0.25,0.85,0.35,0.93,0.62,0.6,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d4_b1.md
37_o3-mini_orkg_d4_b4,d4_b4,0.05,0.93,0.15,0.52,0.7,0.47,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/37_o3-mini_orkg_d4_b4.md
38_o3-mini_orkg_d1_b1,d1_b1,0.4,0.92,0.45,0.93,0.88,0.716,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d1_b1.md
38_o3-mini_orkg_d1_b4,d1_b4,0.2,0.83,0.25,0.92,0.73,0.586,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d1_b4.md
38_o3-mini_orkg_d4_b1,d4_b1,0.25,0.94,0.3,0.6,0.6,0.538,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d4_b1.md
38_o3-mini_orkg_d4_b4,d4_b4,0.05,0.95,0.55,0.92,0.55,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/38_o3-mini_orkg_d4_b4.md
39_o3-mini_orkg_d1_b1,d1_b1,0.4,0.2,0.1,0.75,0.5,0.39,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d1_b1.md
39_o3-mini_orkg_d1_b4,d1_b4,0.4,0.45,0.45,0.83,0.9,0.606,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d1_b4.md
39_o3-mini_orkg_d4_b1,d4_b1,0.2,0.25,0.25,0.85,0.48,0.406,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d4_b1.md
39_o3-mini_orkg_d4_b4,d4_b4,0.1,0.6,0.55,0.95,0.6,0.56,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/39_o3-mini_orkg_d4_b4.md
3_o3-mini_orkg_d1_b1,d1_b1,0.2,0.45,0.45,0.75,0.83,0.536,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d1_b1.md
3_o3-mini_orkg_d1_b4,d1_b4,0.15,0.65,0.35,0.83,0.4,0.476,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d1_b4.md
3_o3-mini_orkg_d4_b1,d4_b1,0.05,0.6,0.45,0.55,0.65,0.46,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/3_o3-mini_orkg_d4_b1.md
